product_name,review_text,rating,tags,flan-t5-xl-JDG-T-101-qlora,mistral-7b-instruct-v0.2-JDG-210,gpt-3.5-turbo-0125:personal:review-tags-jdg001,llama-2-7b-chat-JDG-211-checkpoint-650,Flan-t5-xl Disagrees,Mistral Disagrees,GPT3.5 Disagrees,Llama Disagrees,3 Judges Agree,Unanimous,At least 3 judges,Validate 3 Judges,Validate Unanimous,No agreement – Human labelled,Set 1 – 3 Judges + Human Labels,Set 2 – Unanimous + Human Labels,Set 3 – Combined Human Labelled,validation,design,value,performance,quality,none,non-review
Amazon Smart Plug,"Smart Device Indeed!!!. Awesome, love all these smart devices. No more turning Christmas tree on. I simply say, Alexa turn on/off Christmas tree!",5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Coffee Filter,Smaller than expected filter. These filters seem a bit smaller than the same filters I bought last year.,3,,"[""quality""]","[""quality""]","[""none""]","[""design""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Echo Dot,Small nice device. But have security concerns. Makes a weird noise a few times a day. Big brother listening?,4,,"[""design"",""performance""]","[""design"",""performance""]","[""performance""]","[""design"",""security""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Coffee Filter,Sludge. Tried it with 3 different kinds of grounds on all available settings. Every single one leaves a bunch of sludge in the bottom of the cup.,1,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Water Filter,"Slowed water disbursement. As it should, the filter works well according to the delicious tasting water and ice. Our only problem is that this time, the change brought on a slow moving water system. We figure something must be lodged in the line. Certainly not calling out the GE guy to repair it for the cost of a new fridge! Any suggestions out there?",4,,"[""performance"",""value""]","[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,"[""performance""]",,"[""performance""]",,,,"[""performance""]",,,0,0,0,1,0,0,0
Kindle Tablet ,Slow. Slow,3,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Water Filter,"Slow output - cost 2 times as my last filter. Of all the filters I have used, this is the worst.  It now takes 2 times as long to fill a glass a d it cost twice as much!",2,,"[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]","[""performance""]",,,,"[""performance"",""value""]","[""performance"",""value""]",,"[""performance"",""value""]",,,,"[""performance"",""value""]",,,0,0,1,1,0,0,0
Echo Dot,Slow connecting. Love the idea BUT it is slow to receive directions. Sometimes no response at all except blue ring circling. And when it is on it DROPS sound  just like our cell phones used to do years ago. Sound  quality Great  when it is finally connected.,2,,"[""performance""]","[""performance""]","[""performance"",""quality""]","[""performance"",""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Earplugs,slip out within the hour. waste of money<br /><br />These would slip out and not cancel any noise. I had to push the in really hard for them to stay but then it would be uncomfortable. I tried putting moisturizer inside my ear so that it would slide in better but it was still uncomfortable. The canister was cool tho. I'll probably use it for my new earplugs,1,,"[""design"",""performance""]","[""quality""]","[""performance""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Dishwasher Magnet,"Slides when changing sign.. I like it. My only complaints are that it is a little larger than I would have preferred and, when switching between clean & dirty, it slides unless you hold it still.",3,,"[""design"",""performance""]","[""design""]","[""design""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Foot Scrubber / Massager,Slides around with stiff bristles. I have this in a normal bathroom surface and it doesn't stay put and slides around from side to side. I feel like I will lose my balance trying to really place my foot on it. This also makes it really hard to use the pumice stone. I also don't like how the bristles feel. They are hard and seem to suck up the soap so there's not much ability to get good suds.,2,,"[""performance"",""quality""]","[""performance"",""quality""]","[""design"",""performance""]","[""performance"",""quality""]",,,"[""performance"",""quality""]",,"[""performance"",""quality""]",,"[""performance"",""quality""]",,,,"[""performance"",""quality""]",,,0,0,0,1,1,0,0
Peppermint Oil,"Skin looks plump in the morning. I have sensitive skin and use this to spot treat dry areas. During colder months, I apply all over face and neck before bed and my skin looks amazing in the morning!",5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Shower Cap,Size is smaller than advertised. Not an XL just a regular size so my hair didn't fit well in it.,2,,"[""quality""]","[""size""]","[""quality""]","[""design"",""size""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Hairspray,Sizable. Nice size,4,,"[""design""]","[""design""]","[""design""]","[""design""]",,,,,,"[""design""]","[""design""]",,"[""design""]",,"[""design""]","[""design""]","[""design""]",0,1,0,0,0,0,0
Pain Relief Cream,Simply put: A miracle cream for joint/muscle pain.. A miracle in a cream. I rubbed it on my knee and the pain was gone immediately. I am not even paid or given a free product. This is my honest review.,5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Kitchen Tools,Silicone Stove Gap Covers. They don't fit properly.,1,,"[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,,,"[""quality""]","[""quality""]",,,,"[""quality""]","[""quality""]",,0,0,0,0,1,0,0
Dishwasher Magnet,sign. It does not stick to my Dishwasher,1,,"[""performance""]","[""product not reviewed""]","[""design""]","[""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Kitchen Tools,Side stove spiller covers. They cover the sides but to me doesn’t look appealing,3,,"[""design""]","[""design""]","[""design""]","[""non-review""]",,,,"[""design""]","[""design""]",,"[""design""]",,,,"[""design""]",,,0,1,0,0,0,0,0
Micro SD Memory Card,"Shrug, it works. Bought it to use with a Raspberry Pi. It works, what more can I say.",4,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Shower Cap,"Shower cap is great. Even with the xl size. Shower cap is great. Even with the xl size, it still fits pretty snug on my head. Wish they had bigger sizes for when I get braids so I can fit them under a cap.",5,,"[""design"",""quality""]","[""design"",""quality""]","[""design""]","[""design""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Necklace,Show stopper. I gave it 2 stars due to not receiving the free gift. However the necklace is very pretty,2,,"[""none""]","[""design""]","[""design""]","[""design"",""value""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Hair curler,"Shoulder Length Hair - doesn't work well. I purchased this for my shoulder length hair. It's very difficult to use, would be best used on longer hair. It's a bit hard to wind the hair around this iron when it's my length.",3,,"[""design"",""performance""]","[""performance""]","[""performance""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Kitchen Tools,Should be slightly longer. The strips are a little too short,3,,"[""design""]","[""design""]","[""design""]","[""design""]",,,,,,"[""design""]","[""design""]",,,,"[""design""]","[""design""]",,0,1,0,0,0,0,0
Smart Scale,Should be better for the Price. This should be way more accurate for the money aslo disappointed with the WiFi signal I have to be nearly right next to my router for it to work...,1,"value, performance","[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]",,,,,,"[""performance"",""value""]","[""performance"",""value""]",,,,"[""performance"",""value""]","[""performance"",""value""]",,0,0,1,1,0,0,0
Coffee Scoop,"Should be a tad longer. I got this to facilitate scooping the coffee out of the bag, especially when it is getting to the bottom. I hoped the longer length would make it easier to do.  But it is a little too short. Two more inches would make it great. The problem is that when you dip all the way to the bottom the bag is deeper than the length of the scooper. Its whole point is lost.",3,,"[""design"",""performance""]","[""performance""]","[""design""]","[""design""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Bluetooth Speakers,"Short use experience. This little box has amazing sound, but after only one normal month of use it died.  The company sent a replacement but that didn't last long either.",2,,"[""performance"",""quality""]","[""performance"",""quality""]","[""performance"",""quality""]","[""quality""]",,,,"[""performance"",""quality""]","[""performance"",""quality""]",,"[""performance"",""quality""]",,,,"[""performance"",""quality""]",,,0,0,0,1,1,0,0
Amazon Smart Plug,"Short life. These only last a short time. Than they stop responding and when you try to reconnect you get a ""provising"" error.  It is great when it works I bought 3 and only 1 is left working.",1,,"[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,,,"[""quality""]","[""quality""]",,,,"[""quality""]","[""quality""]",,0,0,0,0,1,0,0
Curling Brush / Iron,Short life!. I bought this brush curling iron 5 months ago.  It was perfect...  at first.  After a couple of months it started losing the plastic bristles a few at a time.... then a lot each time I used it.  The whole reason I wanted the bristles was to keep from burning my skin.  Now most of the bristles have broken off and after a couple of bad burns on my forehead I gave up on it.,2,,"[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,,,"[""quality""]","[""quality""]",,,,"[""quality""]","[""quality""]",,0,0,0,0,1,0,0
Hairspray,"Shipping was terrible but product ok. The item arrived late and all of the spray heads fell off. The spray was frozen upon delivery. They eventually thawed out, and spray heads reattached, but not the greatest shipping.",4,,"[""quality"",""shipping""]","[""quality""]","[""quality""]","[""shipping""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Hairspray,"Shipping was Late. Love bed head but ...........Shipping was late. I had to leave and the new people got my hairspray .. Two pack ... So, I can't return it and they won't ship it. I'm out the money and hairspray ...<br /> BEWARE THIS MIGHT ARRIVE LATE even in good weather.",2,,"[""none""]","[""none""]","[""none""]","[""shipping""]",,,,"[""none""]","[""none""]",,"[""none""]",,,,"[""none""]",,,0,0,0,0,0,1,0
Echo Dot,Shes always listening. Works great,5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Cotton Rounds,"Shedding like the ""before"" in a heads&shoulders ad. I bought it purely because it's cheap and my only usage is to apply BHA toner. But I just can't take the shedding anymore. Jeez",2,,"[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,,,"[""quality""]","[""quality""]",,,,"[""quality""]","[""quality""]",,0,0,0,0,1,0,0
Coffee Filter,"She's happy, a little tricky to figure out. This was a gift for my significant other. She can still use the coffee grounds she has. She's happy, a little tricky to figure out, but obvious once you got it. you have to pop something out of the original keurig (compact) and replace it with the reusable k-cup.",4,,"[""design""]","[""design""]","[""design""]","[""design"",""performance""]",,,,"[""design""]","[""design""]",,"[""design""]",,,,"[""design""]",,,0,1,0,0,0,0,0
Bluetooth Speakers,She loves it. Gifted,3,,"[""non-review""]","[""non-review""]","[""none""]","[""non-review""]",,,"[""non-review""]",,"[""non-review""]",,"[""non-review""]",,,,"[""non-review""]",,,0,0,0,0,0,0,1
Shampoo,Shampoo. Pump action does not work great on this.  The shampoo is so thick it just doesn't come out.  I like the shampoo but the bottle is not good.,4,,"[""design"",""performance""]","[""design""]","[""performance"",""quality""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Kitchen Tools,Serves its purpose.... Great product!!,5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Kitchen Tools,"serves it purpose. it does what is is suppose to do, however, I wish it came in other colors...black is a bit harsh for my stainless, cream & sea foam kitchen....",3,,"[""performance""]","[""design""]","[""design""]","[""design""]","[""design""]",,,,"[""design""]",,"[""design""]",,,,"[""design""]",,,0,1,0,0,0,0,0
Echo Dot,"Seriously makes life more enjoyable. I purchased the Echo Dot 2 after hearing about it over a dinner with friends. My main reason was for using it as a speaker, but have found the alarm and reminder system so helpful. Even the games are enjoyable.",4,,"[""performance""]","[""performance"",""value""]","[""performance""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Earbuds,"Sent wrong color!. Used to purchase these a lot and I needed another pair. Good for the price. However, these are CLEARLY not metallic. They are glossy. Disappointed!",2,,"[""value""]","[""quality"",""value""]","[""quality""]","[""design""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Water Filter,"Sent a bad filter. I've ordered before...but this last time I was sent a bad or counterfeit filter. It's too late to return it, so there goes $50.<br />I'm not too happy.  Check as soon as you get yours. I waited until mine was due to be replaced.",2,,"[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,,,"[""quality""]","[""quality""]",,,,"[""quality""]","[""quality""]",,0,0,0,0,1,0,0
Amazon Fire TV Stick,"Sending back. More costly than cable, or dish. Very costly. You have to pay for each app.",2,,"[""value""]","[""value""]","[""value""]","[""cost""]",,,,"[""value""]","[""value""]",,"[""value""]",,,,"[""value""]",,,0,0,1,0,0,0,0
Peppermint Oil,"Seems to be a good quality oil. I’m not that familiar with myrrh as a fragrance or therapeutic oil, though I’ve had several brands and types of therapeutic grades of oil - but this brand is very pleasing and looks to be pure.<br />It lasts a good amount of time in my diffuser and the fragrance is very nice. I combined this with frankincense .",5,,"[""performance"",""quality""]","[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,"[""quality""]",,"[""quality""]",,,,"[""quality""]",,,0,0,0,0,1,0,0
Micro SD Memory Card,Seems okay. Purchased this because it went w a gift purchased for someone. Since this was part of gift. I'm assuming all is well. Not the best review but when it's a gift it's harder to review. Because it ain't your product & one can only go by what other person tells you.,4,,"[""non-review""]","[""non-review""]","[""none""]","[""non-review""]",,,"[""non-review""]",,"[""non-review""]",,"[""non-review""]",,,,"[""non-review""]",,,0,0,0,0,0,0,1
Castor Oil,Seems ok. So far seems ok. Not seen any major benefits of putting drops in my eyes. But like to apply it under the eyes.,3,,"[""non-review""]","[""design"",""quality""]","[""performance""]","[""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Coffee Maker Cups,"Seemed to be a good idea but leaks considerably.. Seemed like a good idea but even using different grinds these still leaked all over. Company was very responsive to my request to return. So, would consider buying other products from same company.",3,,"[""quality""]","[""performance""]","[""quality""]","[""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Earbuds,Seem to work OK. Like them so far. I find the volume controls a bit awkward,4,,"[""design"",""performance""]","[""design""]","[""performance""]","[""design""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Hair Spray Bottle,Second purchase. I bought one of these for myself and one for another person. Great product. It sprays well and it’s pretty sturdy. I’ve dropped it multiple times and it does not budge. Its worth the money.,5,,"[""performance"",""quality"",""value""]","[""design"",""performance"",""quality"",""value""]","[""performance"",""quality"",""value""]","[""performance"",""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Amazon Fire Tablet,Screen quality. I use this mainly for reading books.  The last book I got took over 30 minutes to download and I was very close to my internet connection.  The screen keeps fading from bright to dark on its own with no interference from outside influences.,2,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Amazon Fire Tablet,"Screen is too dark for movie watching. Good for the money.  Buy it on Black Friday to get the best price. My only nitpick is that the screen is too dark for movies, even at the brightest setting.  They are hard to see. Pick something else if you want a good screen for movie watching.",4,,"[""performance"",""value""]","[""performance"",""value""]","[""performance"",""value""]","[""design"",""value""]",,,,"[""performance"",""value""]","[""performance"",""value""]",,"[""performance"",""value""]",,,,"[""performance"",""value""]",,,0,0,1,1,0,0,0
Amazon Fire Tablet,Screen is only 6 inches not 7. Not happy it's only 6 inches,3,,"[""quality""]","[""none""]","[""design""]","[""design""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Kindle Tablet ,"Screen “adjusts” without my moving it. I love the Fire HD 8. However, I bought two as a package deal.  The yellow one has issues — it randomly flips the screen so it is upside down (& I didn’t move it at all). I use it to play games such as Bingo so it is frustrating.",2,,"[""design"",""performance""]","[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,"[""performance""]",,"[""performance""]",,,,"[""performance""]",,,0,0,0,1,0,0,0
Yoga Mat Cleaner,Scent of lavender was awesome doing yoga outside I can still smell it.. The plastic bottle it comes in is cheap and useless it sprays poorly and it leaks when you tip it on its side to spray. Probably transfer into a manduka container.,4,,"[""design"",""quality""]","[""design"",""performance""]","[""design"",""quality""]","[""performance"",""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Peppermint Oil,scent does not last one minute even. I don't reommend,1,quality,"[""quality""]","[""quality""]","[""performance""]","[""quality""]",,,"[""quality""]",,"[""quality""]",,"[""quality""]",,,,"[""quality""]",,,0,0,0,0,1,0,0
Earplugs,"Scared the crap out of me. Scared the crap out of me!. Put them in to try them out, went to pull them out by the stem like normal and the stem came off with the plug still in my ear. Luckily I got some tweezers and got them out..... not a well thought out design.",1,,"[""design"",""quality""]","[""design""]","[""design""]","[""design""]","[""design""]",,,,"[""design""]",,"[""design""]",,,,"[""design""]",,,0,1,0,0,0,0,0
Coffee Maker Cups,"Savings. Exelent,  save on coffee,  water,  no waste, easy to clean, actually i just dump the coffee in the garbage,  save on filters. Thanks",5,,"[""design"",""performance"",""value""]","[""value""]","[""value""]","[""value""]","[""value""]",,,,"[""value""]",,"[""value""]",,,,"[""value""]",,,0,0,1,0,0,0,0
Foot Scrubber / Massager,Save your money. Tickles my feet. Don't like it. Save your money!!!!!!,2,,"[""performance""]","[""none""]","[""none""]","[""none""]","[""none""]",,,,"[""none""]",,"[""none""]",,,,"[""none""]",,,0,0,0,0,0,1,0
Necklace,"save your money. The colors on this item are attractive,espcially the blue.... but the actual jewelry is cheap looking. I do NOT recommend it.",1,,"[""quality""]","[""design"",""quality""]","[""design"",""quality""]","[""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Logitech Mouse,Save your hands!. The is comfortable in my hand and great for spreadsheet work,5,,"[""design"",""performance""]","[""design""]","[""design"",""performance""]","[""comfort""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Listerine pump for mouthwash,Sanitary. Very handy,5,,"[""design""]","[""design""]","[""design""]","[""design""]",,,,,,"[""design""]","[""design""]",,,,"[""design""]","[""design""]",,0,1,0,0,0,0,0
Exfoliating Cloth,"Salux Wathclothes. Love these! The bumps on my legs finally gone! I just use on my arms on legs. Also, a great gift for girlfriends!",4,,"[""performance""]","[""performance""]","[""performance""]","[""design"",""performance""]",,,,"[""performance""]","[""performance""]",,"[""performance""]",,,,"[""performance""]",,,0,0,0,1,0,0,0
Tea Infuser,"Safe?. The filter arrived defective, the metal appears to be printed on the outside of the plastic and could potentially end up in the tea itself. Try a different brand!",1,,"[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,,,"[""quality""]","[""quality""]",,,,"[""quality""]","[""quality""]",,0,0,0,0,1,0,0
Necklace,Sadness. Pretty but poor quality. Broke the first time I used it.,2,,"[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,,,"[""quality""]","[""quality""]",,,,"[""quality""]","[""quality""]",,0,0,0,0,1,0,0
Echo Dot,Sad. Hardly recognizes what I ask for... Only good for telling jokes and the weather.  Other then that don't bother.,2,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Water Filter,"sad, just sad. Not all that I would expect. I have water marks on the stainless front of my fridge. I would have thought with a water filter that it wouldn't happen.... sad, just sad. It fit into the fridge no problems. Quick and easy to use. Just hate those water lines.",3,,"[""design"",""quality""]","[""quality""]","[""performance""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Bath Towel / Wrap,"Runs small and stiff Velcro. Nice light weight fabric, but Velcro closure sticks to it so well that it's difficult to put on.  Also runs very small.",3,,"[""design"",""quality""]","[""design"",""quality""]","[""design"",""quality""]","[""design"",""performance""]",,,,"[""design"",""quality""]","[""design"",""quality""]",,"[""design"",""quality""]",,,,"[""design"",""quality""]",,,0,1,0,0,1,0,0
Soft Tissues,Runny nose corrector. Need to be softer,4,,"[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,,,"[""quality""]","[""quality""]",,,,"[""quality""]","[""quality""]",,0,0,0,0,1,0,0
Coffee Filter,"Round vs the original. Very good filters for Chemex coffee makers.<br /><br />Took a few tries to adjust to the circular design, after being used to the standard design.<br /><br />Both designs work fine, I just prefer the original.<br /><br />You may feel differently, try both ad see which filters you prefer for yourself.",3,,"[""design"",""performance""]","[""design""]","[""design""]","[""design"",""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Cotton Rounds,"Rough, with sharp edges. These are basically paper rounds. The edges are very sharp, and my face was irritated after using them.",1,,"[""quality""]","[""quality""]","[""quality""]","[""design"",""quality""]",,,,"[""quality""]","[""quality""]",,"[""quality""]",,,,"[""quality""]",,,0,0,0,0,1,0,0
Exfoliating Cloth,Rough texture. Would not recommend. Too scratchy,2,,"[""quality""]","[""quality""]","[""quality""]","[""design""]",,,,"[""quality""]","[""quality""]",,"[""quality""]",,,,"[""quality""]",,,0,0,0,0,1,0,0
Peppermint Oil,"Rootbeer Licorice. This essential oil may be organic, it may be pure, but pure what? It smells nothing like any frankincense that I have ever smelled. It smells like rootbeer and licorice. Perhaps the distillation equipment is sullied with sassafras oil or something...I can't figure it out. Too good to be true for organic frankincense.",3,,"[""quality""]","[""performance""]","[""quality""]","[""quality""]",,"[""quality""]",,,"[""quality""]",,"[""quality""]",,,,"[""quality""]",,,0,0,0,0,1,0,0
Cotton Rounds,Rolls up with astringent. I use these for astringent. They dont stay flat. They keep rolling up as I use them. They are a little on the thin side for me.,2,,"[""performance"",""quality""]","[""design"",""performance""]","[""performance""]","[""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Glycerin,ripped off. they advertise this as 43 ounces but when I got it there was only 32 ounces. Do not waste your money,1,,"[""quality""]","[""value""]","[""quality""]","[""quality""]",,"[""quality""]",,,"[""quality""]",,"[""quality""]",,,,"[""quality""]",,,0,0,0,0,1,0,0
Contact Lens Solution,Rinse well after soaking in this. be sure to rinse contacts really well with saline before putting in your contact,2,,"[""performance""]","[""performance""]","[""performance""]","[""non-review""]",,,,"[""performance""]","[""performance""]",,"[""performance""]",,,,"[""performance""]",,,0,0,0,1,0,0,0
Earbuds,Right earbud stopped working! Got a replacement & just purchased a new pair. Good headphones but not for running. They can fall out of your ears. *****Update... The right one is no longer working.  What a disappointment!<br /><br />1st time - 1 star-  got a replacement for ear bud. Just purchased again today. It's kinda early to tell if they work.,3,,"[""design"",""quality""]","[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,"[""quality""]",,"[""quality""]",,,,"[""quality""]",,,0,0,0,0,1,0,0
Soap Sheets,ridiculous. 1 sheet will not wash anything.. ridiculous.  1 sheet will not wash anything.  Use 15 sheets maybe,1,,"[""performance""]","[""performance""]","[""performance""]","[""quality""]",,,,"[""performance""]","[""performance""]",,"[""performance""]",,,,"[""performance""]",,,0,0,0,1,0,0,0
Foot Scrubber / Massager,"Ridiculous!!!!  Don't waste your money.. The apparatus does not adhere securely to the shower floor and, therefore, slides all over the place when sliding your foot in and out - impossible to use the built in (mine was cracked on arrival) pumice stone.  Total waste of money for this cheap piece of C**P.  I'll be buying a brush with an extended handle.  I wish I could give less than one star!",1,,"[""quality""]","[""performance"",""quality""]","[""quality""]","[""performance"",""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Cleaner,Review. Doesn't work as well as it used to.,4,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Coffee Maker Cups,Reuseable. Poor quality lid didn’t fit well.  Small amt coffee grounds seemed to get out during process,5,,"[""quality""]","[""design"",""quality""]","[""quality""]","[""quality""]",,"[""quality""]",,,"[""quality""]",,"[""quality""]",,,,"[""quality""]",,,0,0,0,0,1,0,0
Earbuds,RETURNING/DEFECTIVE/MISSING PARTS.. There were no adjustable ear pieces in with the packaging. The sound was broken/intermittent. Returning these ASAP!,1,,"[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,,,"[""quality""]","[""quality""]",,,,"[""quality""]","[""quality""]",,0,0,0,0,1,0,0
Kindle Tablet ,Returned. Was not impressed,3,,"[""none""]","[""none""]","[""none""]","[""non-review""]",,,,"[""none""]","[""none""]",,"[""none""]",,,,"[""none""]",,,0,0,0,0,0,1,0
Water Filter,Returned. Returned,3,,"[""non-review""]","[""non-review""]","[""none""]","[""non-review""]",,,"[""non-review""]",,"[""non-review""]",,"[""non-review""]",,,,"[""non-review""]",,,0,0,0,0,0,0,1
Bath Towel / Wrap,"RETURNED. I got the teal ombré in &#34;basic&#34; option. I hated the material, I was looking more for a terry cloth like a towel. I'm 135lbs, 5'4 and the wrap did go all the way around my body but stopped halfway across my chest.  Very small.  I returned and spent a little more money On another one from Amazon that is MUCH nicer and worth $10 more than what I paid for this. Would not recommend.",1,,"[""design"",""quality""]","[""quality"",""value""]","[""quality"",""value""]","[""quality""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Water Filter,"Returned. Fridge broke down and had to be scrapped, so filter was returned, sorry!",1,,"[""none""]","[""non-review""]","[""non-review""]","[""non-review""]","[""non-review""]",,,,"[""non-review""]",,"[""non-review""]",,,,"[""non-review""]",,,0,0,0,0,0,0,1
Crown / Tiara,"Returned, hurt my head. Returned, hurt my head",1,,"[""non-review""]","[""quality""]","[""none""]","[""none""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
UV-C Sanitizer and Deodorizer,"Returned without using..... I don't have this so I guess I sent it back without ever trying it, sorry no review then.... Don't even remember why......",3,,"[""non-review""]","[""non-review""]","[""non-review""]","[""non-review""]",,,,,,"[""non-review""]","[""non-review""]",,,,"[""non-review""]","[""non-review""]",,0,0,0,0,0,0,1
Echo Dot,RETURN. RETURN,1,,"[""none""]","[""non-review""]","[""none""]","[""non-review""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Glycerin,Return. I did not order this product and need to know how I can return and get a refund!,1,,"[""non-review""]","[""non-review""]","[""none""]","[""non-review""]",,,"[""non-review""]",,"[""non-review""]",,"[""non-review""]",,,,"[""non-review""]",,,0,0,0,0,0,0,1
Logitech Mouse,Responsive Mouse. This replaces an older version of this mouse and I like the feel of the new one much better. It is a lot more responsive and it installed seamlessly. I really liked the very small USB wireless adapter.,5,,"[""design"",""performance""]","[""performance""]","[""design"",""performance""]","[""performance""]",,,,,,,,,,,,,,0,0,0,0,0,0,0
Cotton Rounds,Remove makeup or to use with a light cleanser or toner water to remove dirt off face. As advertised<br />Great to use with my toner wipes,5,,"[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,,,"[""performance""]","[""performance""]",,,,"[""performance""]","[""performance""]",,0,0,0,1,0,0,0
Amazon Fire TV Stick,Remote stopped working. The remote has stopped working even when the batteries have been changed multiple times. It has been less than a year from when I bought it. It’s extremely disappointing.,1,,"[""quality""]","[""quality""]","[""quality""]","[""quality""]",,,,,,"[""quality""]","[""quality""]",,,,"[""quality""]","[""quality""]",,0,0,0,0,1,0,0
Amazon Fire TV Stick,Remote freezes. Freezes all the time. Can’t move or go home etc... returning and upgrading to 4K and hope it works like it should. We have a good internet connection  so movies stream well but the remote stops working at least once per use.,3,,"[""quality""]","[""performance""]","[""performance""]","[""performance""]","[""performance""]",,,,"[""performance""]",,"[""performance""]",,,,"[""performance""]",,,0,0,0,1,0,0,0
Amazon Fire TV Stick,Remote didn't work.. Remote would not work. Got a refund and ordered the 4k stick,1,,"[""quality""]","[""quality""]","[""none""]","[""quality""]",,,"[""quality""]",,"[""quality""]",,"[""quality""]",,,,"[""quality""]",,,0,0,0,0,1,0,0
Echo Dot,Reminders to take my medication!. We love ours! I like it when I say Alexa tell me a dirty joke!! Too funny!,5,,"[""performance""]","[""performance""]","[""performance""]","[""none""]",,,,"[""performance""]","[""performance""]",,"[""performance""]",,,,"[""performance""]",,,0,0,0,1,0,0,0
